学科名称,大学名称,排名,论文数,引用次数,每篇论文引用次数
"SOCIAL SCIENCES, GENERAL",SHANGHAI UNIVERSITY OF SPORT,1898,264,2924,11.080
"SOCIAL SCIENCES, GENERAL",YUNNAN UNIVERSITY,1910,342,2902,8.490
"SOCIAL SCIENCES, GENERAL",NORTHWESTERN POLYTECHNICAL UNIVERSITY,1911,250,2901,11.600
"SOCIAL SCIENCES, GENERAL","ACADEMY OF MATHEMATICS & SYSTEM SCIENCES, CAS",1912,105,2900,27.620
"SOCIAL SCIENCES, GENERAL",CHINESE ACADEMY OF AGRICULTURAL SCIENCES,1920,203,2878,14.180
"SOCIAL SCIENCES, GENERAL",FUJIAN MEDICAL UNIVERSITY,1963,425,2776,6.530
"SOCIAL SCIENCES, GENERAL",NANJING UNIVERSITY OF POSTS & TELECOMMUNICATIONS,1964,291,2775,9.540
"SOCIAL SCIENCES, GENERAL","NATIONAL INSTITUTE OF ENVIRONMENTAL HEALTH, CHINESE CENTER FOR DISEASE CONTROL & PREVENTION",1968,44,2759,62.700
"SOCIAL SCIENCES, GENERAL",TIANJIN MEDICAL UNIVERSITY,1995,269,2683,9.970
"SOCIAL SCIENCES, GENERAL",ANHUI NORMAL UNIVERSITY,2000,203,2671,13.160
"SOCIAL SCIENCES, GENERAL",GUANGDONG UNIVERSITY OF FINANCE & ECONOMICS,2012,227,2659,11.710
"SOCIAL SCIENCES, GENERAL",WENZHOU MEDICAL UNIVERSITY,2019,478,2638,5.520
"SOCIAL SCIENCES, GENERAL",QUFU NORMAL UNIVERSITY,2068,247,2546,10.310
"SOCIAL SCIENCES, GENERAL",GUANGZHOU MEDICAL UNIVERSITY,2077,296,2537,8.570
"SOCIAL SCIENCES, GENERAL",NANJING AUDIT UNIVERSITY,2124,178,2456,13.800
"SOCIAL SCIENCES, GENERAL",XI'AN UNIVERSITY OF ARCHITECTURE & TECHNOLOGY,2134,195,2440,12.510
"SOCIAL SCIENCES, GENERAL",BEIJING INTERNATIONAL STUDIES UNIVERSITY,2135,188,2431,12.930
"SOCIAL SCIENCES, GENERAL",HUBEI UNIVERSITY,2144,215,2411,11.210
"SOCIAL SCIENCES, GENERAL",GUANGXI MEDICAL UNIVERSITY,2151,212,2406,11.350
"SOCIAL SCIENCES, GENERAL",SHANGHAI UNIVERSITY OF INTERNATIONAL BUSINESS & ECONOMICS,2189,175,2337,13.350
"SOCIAL SCIENCES, GENERAL",BEIJING FOREIGN STUDIES UNIVERSITY,2202,472,2304,4.880
"SOCIAL SCIENCES, GENERAL",CHANGSHA UNIVERSITY OF SCIENCE & TECHNOLOGY,2211,150,2271,15.140
"SOCIAL SCIENCES, GENERAL",SOUTHERN MARINE SCIENCE & ENGINEERING GUANGDONG LABORATORY,2225,120,2256,18.800
"SOCIAL SCIENCES, GENERAL",DUKE KUNSHAN UNIVERSITY,2242,264,2234,8.460
"SOCIAL SCIENCES, GENERAL",LIAONING UNIVERSITY,2259,198,2209,11.160
"SOCIAL SCIENCES, GENERAL",TIANJIN NORMAL UNIVERSITY,2270,222,2195,9.890
"SOCIAL SCIENCES, GENERAL",HEBEI UNIVERSITY OF TECHNOLOGY,2298,98,2167,22.110
"SOCIAL SCIENCES, GENERAL",CHENGDU UNIVERSITY OF TECHNOLOGY,2313,242,2135,8.820
"SOCIAL SCIENCES, GENERAL",TIANJIN UNIVERSITY OF COMMERCE,2337,114,2102,18.440
"SOCIAL SCIENCES, GENERAL",SHANGHAI LIXIN UNIVERSITY OF ACCOUNTING & FINANCE,2340,107,2098,19.610
"SOCIAL SCIENCES, GENERAL",GUIZHOU UNIVERSITY,2363,174,2069,11.890
"SOCIAL SCIENCES, GENERAL",XIDIAN UNIVERSITY,2383,157,2043,13.010
"SOCIAL SCIENCES, GENERAL",HANGZHOU DIANZI UNIVERSITY,2395,260,2021,7.770
"SOCIAL SCIENCES, GENERAL",ZHEJIANG A&F UNIVERSITY,2403,143,2014,14.080
