total_subjects,top_subjects,high_subjects,medium_subjects,other_subjects,total_documents,total_cites,avg_cites_per_paper,subjects_in_top_500_count,university_name,cluster
19,0,10,8,1,32538.0,729705.0,20.00421052631579,10,UNIV NANTES ANGERS LE MANS,1
17,0,12,2,3,22542.0,582184.0,24.24882352941176,12,UNIVERSITY OF OTAGO,1
20,3,10,4,3,49515.0,1361431.0,29.258499999999998,13,CEA,1
9,0,9,0,0,26652.0,950252.0,31.599999999999998,9,OREGON HEALTH & SCIENCE UNIVERSITY,1
9,0,6,3,0,17380.0,612981.0,32.444444444444436,6,ALBERT EINSTEIN COLLEGE OF MEDICINE,1
15,0,7,5,3,27545.0,657869.0,21.442666666666664,7,CATHOLIC UNIVERSITY OF THE SACRED HEART,1
12,0,8,1,3,30491.0,931401.0,27.249166666666667,8,MEDICAL UNIVERSITY OF VIENNA,1
19,1,8,7,3,32453.0,779523.0,20.980526315789472,9,UNIVERSITI MALAYA,1
19,2,12,5,0,45290.0,1269926.0,24.200526315789475,14,UNIVERSITY OF OTTAWA,1
14,3,4,4,3,26380.0,590568.0,23.98071428571429,7,INSTITUT POLYTECHNIQUE DE PARIS,1
20,0,16,4,0,55074.0,1402953.0,25.097,16,UNIVERSITE DE MONTREAL,1
17,0,8,8,1,32068.0,666036.0,20.160588235294117,8,KYUNG HEE UNIVERSITY,1
20,0,11,9,0,28056.0,660122.0,22.083,11,UNIVERSITE DE RENNES,1
15,3,6,4,2,38280.0,835977.0,22.308,9,CHINA AGRICULTURAL UNIVERSITY,1
21,1,20,0,0,55011.0,1341746.0,21.568095238095236,21,UNIVERSITY OF BOLOGNA,1
19,0,19,0,0,53690.0,1198591.0,19.69157894736842,19,NATIONAL TAIWAN UNIVERSITY,1
17,0,5,12,0,31134.0,748053.0,21.984117647058824,5,UNIVERSITY OF GENOA,1
21,2,13,5,1,38729.0,1157345.0,30.789523809523807,15,AUSTRALIAN NATIONAL UNIVERSITY,1
12,5,5,1,1,43353.0,1654968.0,41.894999999999996,10,ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI,1
16,4,4,7,1,55446.0,1075997.0,19.973125,8,UNIVERSITY OF ELECTRONIC SCIENCE & TECHNOLOGY OF CHINA,1
22,9,10,2,1,57398.0,1646879.0,31.470000000000006,19,UNIVERSITY OF TEXAS AUSTIN,1
17,0,9,5,3,20706.0,482995.0,23.63588235294118,9,UNIVERSITY OF TURKU,1
18,0,11,6,1,38004.0,792355.0,21.78666666666667,11,UNITED STATES DEPARTMENT OF DEFENSE,1
21,1,15,4,1,48008.0,1225308.0,25.288095238095234,16,UNIVERSITY OF HAMBURG,1
20,7,5,7,1,57254.0,2066806.0,32.201499999999996,12,WASHINGTON UNIVERSITY (WUSTL),1
20,6,12,2,0,85262.0,1992773.0,21.672999999999995,18,WUHAN UNIVERSITY,1
20,6,12,2,0,96019.0,1725099.0,16.410499999999995,18,SHANDONG UNIVERSITY,1
19,0,13,6,0,39594.0,1055485.0,27.493157894736843,13,TECHNISCHE UNIVERSITAT DRESDEN,1
17,0,6,7,4,21699.0,492546.0,20.97529411764706,6,UNIV CLERMONT AUVERGNE ASSOC,1
21,2,18,1,0,44769.0,1435711.0,31.176666666666662,20,UNIVERSITY OF BRISTOL,1
18,2,9,6,1,34537.0,848466.0,24.80277777777778,11,UNIVERSITY OF WATERLOO,1
12,1,8,1,2,25491.0,941440.0,49.38750000000001,9,BETH ISRAEL DEACONESS MEDICAL CENTER,1
15,0,6,9,0,22221.0,566330.0,22.946000000000005,6,QUEENS UNIVERSITY - CANADA,1
10,1,8,0,1,25880.0,971929.0,37.062000000000005,9,DAVID GEFFEN SCHOOL OF MEDICINE AT UCLA,1
22,6,13,3,0,80431.0,1977018.0,22.344545454545457,19,NANJING UNIVERSITY,1
21,0,19,2,0,54283.0,1507943.0,28.078095238095244,19,LUND UNIVERSITY,1
15,2,8,4,1,22968.0,584864.0,27.172000000000004,10,OREGON STATE UNIVERSITY,1
19,1,12,6,0,29043.0,735194.0,25.925789473684212,13,UNIVERSITY COLLEGE DUBLIN,1
20,1,13,4,2,32740.0,723380.0,23.290000000000006,14,VIRGINIA POLYTECHNIC INSTITUTE & STATE UNIVERSITY,1
15,1,8,1,5,17453.0,504708.0,30.02,9,LANCASTER UNIVERSITY,1
9,3,3,2,1,44724.0,798338.0,17.339999999999996,6,CHINA UNIVERSITY OF PETROLEUM,1
20,7,10,2,1,37556.0,1397972.0,40.79600000000001,17,PRINCETON UNIVERSITY,1
11,4,6,0,1,39521.0,1417906.0,39.158181818181816,10,ERASMUS MC,1
18,0,12,6,0,30169.0,735787.0,23.129444444444445,12,LAVAL UNIVERSITY,1
14,0,7,4,3,13295.0,543012.0,39.68285714285714,7,WEIZMANN INSTITUTE OF SCIENCE,1
22,5,15,1,1,66237.0,1938463.0,27.74045454545455,20,UNIVERSITY OF MUNICH,1
15,6,4,2,3,38035.0,1194846.0,29.767333333333337,10,CNRS - NATIONAL INSTITUTE FOR BIOLOGY (INSB),1
20,3,11,6,0,45347.0,1427033.0,29.239500000000003,14,MCMASTER UNIVERSITY,1
19,1,13,5,0,53539.0,1498763.0,24.231052631578947,14,UNIVERSITY OF ALABAMA SYSTEM,1
19,7,7,5,0,73497.0,1210581.0,16.63736842105263,14,KING SAUD UNIVERSITY,1
20,0,14,6,0,30964.0,693124.0,23.5195,14,UNIVERSITY OF CONNECTICUT,1
18,0,4,13,1,19438.0,472347.0,26.000000000000007,4,VRIJE UNIVERSITEIT BRUSSEL,1
20,1,17,2,0,42998.0,1221691.0,29.526999999999997,18,UNIVERSITY OF NOTTINGHAM,1
19,0,11,8,0,28854.0,659015.0,23.423684210526318,11,UNIVERSITE DE LORRAINE,1
18,0,11,5,2,37425.0,666571.0,18.723333333333336,11,HOKKAIDO UNIVERSITY,1
10,0,7,2,1,31717.0,987054.0,30.916999999999994,7,FEINBERG SCHOOL OF MEDICINE,1
21,0,17,2,2,42309.0,1056816.0,22.56142857142857,17,UNIVERSITY OF TURIN,1
22,6,13,2,1,54827.0,1489296.0,28.569999999999997,19,PENNSYLVANIA STATE UNIVERSITY - UNIVERSITY PARK,1
20,2,18,0,0,65325.0,1631103.0,23.741000000000003,20,UNIVERSITY OF ALBERTA,1
18,0,10,4,4,34217.0,856344.0,24.955,10,UNIVERSITY OF MIAMI,1
20,0,8,10,2,27993.0,680838.0,22.57,8,UNIVERSITY OF ROME TOR VERGATA,1
13,2,4,6,1,25060.0,886616.0,34.51923076923076,6,LONDON SCHOOL OF HYGIENE & TROPICAL MEDICINE,1
17,0,8,6,3,20318.0,513215.0,28.042941176470585,8,STELLENBOSCH UNIVERSITY,1
18,0,9,7,2,23833.0,564200.0,22.08555555555556,9,UNIVERSITA DEGLI STUDI DI BARI ALDO MORO,1
17,0,8,4,5,23096.0,567951.0,21.65058823529412,8,ACADEMIA SINICA - TAIWAN,1
17,0,6,9,2,22341.0,484197.0,22.100588235294122,6,UNIVERSITY OF SASKATCHEWAN,1
18,1,13,3,1,33201.0,858970.0,24.888888888888893,14,UNIVERSITY OF VALENCIA,1
19,1,15,3,0,38717.0,1124993.0,29.20578947368421,16,UNIVERSITY OF SHEFFIELD,1
22,5,15,2,0,60458.0,1335402.0,24.08681818181818,20,TEXAS A&M UNIVERSITY COLLEGE STATION,1
20,0,13,6,1,41248.0,977130.0,24.065999999999995,13,RWTH AACHEN UNIVERSITY,1
19,3,8,5,3,45403.0,1158392.0,20.387894736842107,11,NANKAI UNIVERSITY,1
11,1,6,2,2,33745.0,637099.0,16.764545454545452,7,JIANGNAN UNIVERSITY,1
19,0,8,11,0,28663.0,500391.0,18.326842105263157,8,UNIVERSITY OF SEVILLA,1
16,0,6,10,0,20107.0,433959.0,22.406875,6,TEXAS TECH UNIVERSITY SYSTEM,1
21,0,21,0,0,53269.0,1181491.0,22.635238095238098,21,UNIVERSIDADE DE LISBOA,1
17,0,8,8,1,26529.0,568992.0,19.60470588235294,8,ARISTOTLE UNIVERSITY OF THESSALONIKI,1
12,2,4,5,1,42365.0,1364894.0,30.13166666666667,6,NATIONAL AERONAUTICS & SPACE ADMINISTRATION (NASA),1
