iter	Passed	Remaining
1382	12686	60700
1383	12695	60691
1384	12705	60684
1385	12715	60679
1386	12725	60672
1387	12736	60670
1388	12745	60661
1389	12754	60651
1390	12763	60642
1391	12772	60634
1392	12782	60625
1393	12790	60614
1394	12800	60606
1395	12809	60597
1396	12819	60589
1397	12828	60582
1398	12837	60572
1399	12847	60565
1400	12856	60558
1401	12867	60555
1402	12878	60554
1403	12888	60552
1404	12900	60555
1405	12911	60554
1406	12922	60551
1407	12933	60550
1408	12941	60539
1409	12950	60529
1410	12960	60520
1411	12969	60510
1412	12978	60501
1413	12988	60496
1414	12998	60490
1415	13007	60482
1416	13016	60472
1417	13026	60463
1418	13035	60456
1419	13044	60444
1420	13053	60434
1421	13061	60423
1422	13070	60411
1423	13079	60399
1424	13088	60389
1425	13097	60380
1426	13106	60370
1427	13115	60360
1428	13125	60355
1429	13135	60348
1430	13143	60337
1431	13152	60325
1432	13161	60313
1433	13170	60305
1434	13179	60294
1435	13189	60289
1436	13197	60276
1437	13205	60262
1438	13214	60248
1439	13222	60235
1440	13232	60230
1441	13241	60219
1442	13249	60207
1443	13259	60200
1444	13268	60188
1445	13277	60178
1446	13287	60173
1447	13296	60162
1448	13306	60157
1449	13315	60148
1450	13325	60141
1451	13334	60134
1452	13343	60123
1453	13352	60115
1454	13361	60103
1455	13371	60096
1456	13382	60096
1457	13391	60088
1458	13401	60080
1459	13410	60070
1460	13420	60064
1461	13429	60056
1462	13438	60047
1463	13448	60040
1464	13457	60031
1465	13466	60022
1466	13475	60012
1467	13485	60003
1468	13494	59993
1469	13504	59988
1470	13513	59979
1471	13522	59968
1472	13530	59957
1473	13539	59944
1474	13547	59931
1475	13556	59921
1476	13564	59907
1477	13573	59894
1478	13581	59882
1479	13590	59870
1480	13599	59861
1481	13607	59849
1482	13616	59837
1483	13624	59822
1484	13633	59813
1485	13642	59800
1486	13651	59790
1487	13659	59778
1488	13668	59769
1489	13678	59763
1490	13689	59759
1491	13699	59755
1492	13707	59744
1493	13717	59735
1494	13727	59728
1495	13736	59719
1496	13747	59718
1497	13756	59710
1498	13766	59701
1499	13775	59693
1500	13784	59684
1501	13793	59674
1502	13802	59665
1503	13812	59658
1504	13822	59650
1505	13831	59640
1506	13841	59638
1507	13850	59626
1508	13860	59622
1509	13869	59609
1510	13877	59597
1511	13886	59585
1512	13894	59572
1513	13902	59558
1514	13910	59543
1515	13918	59530
1516	13926	59515
1517	13934	59503
1518	13943	59491
1519	13951	59479
1520	13961	59469
1521	13969	59459
1522	13979	59453
1523	13988	59441
1524	13997	59431
1525	14008	59430
1526	14019	59427
1527	14029	59422
1528	14040	59422
1529	14052	59422
1530	14062	59418
1531	14072	59414
1532	14086	59422
1533	14134	59578
1534	14145	59576
1535	14156	59576
