iter	Passed	Remaining
1081	11110	91572
1082	11126	91611
1083	11137	91608
1084	11149	91610
1085	11159	91601
1086	11170	91590
1087	11179	91576
1088	11191	91574
1089	11201	91561
1090	11212	91557
1091	11222	91549
1092	11231	91528
1093	11241	91512
1094	11254	91527
1095	11271	91574
1096	11283	91576
1097	11293	91559
1098	11305	91562
1099	11320	91594
1100	11337	91635
1101	11352	91661
1102	11362	91649
1103	11371	91631
1104	11380	91612
1105	11390	91599
1106	11401	91589
1107	11410	91571
1108	11419	91552
1109	11428	91534
1110	11439	91523
1111	11448	91506
1112	11457	91483
1113	11466	91464
1114	11482	91500
1115	11494	91503
1116	11503	91481
1117	11512	91459
1118	11520	91436
1119	11529	91412
1120	11538	91388
1121	11546	91365
1122	11556	91348
1123	11565	91331
1124	11574	91313
1125	11584	91296
1126	11594	91286
1127	11604	91269
1128	11614	91255
1129	11623	91236
1130	11633	91224
1131	11643	91214
1132	11652	91195
1133	11663	91190
1134	11674	91186
1135	11684	91172
1136	11694	91157
1137	11703	91142
1138	11714	91130
1139	11723	91112
1140	11733	91099
1141	11742	91082
1142	11752	91065
1143	11761	91045
1144	11770	91025
1145	11782	91030
1146	11792	91020
1147	11801	90999
1148	11811	90985
1149	11821	90974
1150	11832	90968
1151	11842	90956
1152	11851	90936
1153	11862	90935
1154	11874	90933
1155	11883	90917
1156	11893	90904
1157	11903	90891
1158	11913	90877
1159	11924	90869
1160	11935	90864
1161	11944	90845
1162	11953	90830
1163	11962	90810
1164	11972	90793
1165	11981	90778
1166	11991	90765
1167	12000	90746
1168	12009	90726
1169	12021	90727
1170	12030	90707
1171	12039	90690
1172	12048	90666
1173	12057	90648
1174	12065	90623
1175	12074	90596
1176	12083	90578
1177	12091	90554
1178	12100	90531
1179	12108	90505
1180	12117	90483
1181	12126	90464
1182	12134	90440
1183	12143	90416
1184	12151	90393
1185	12160	90371
1186	12168	90345
1187	12177	90328
1188	12189	90332
1189	12200	90324
1190	12213	90335
1191	12225	90338
1192	12240	90364
1193	12253	90371
1194	12263	90359
1195	12273	90349
1196	12285	90348
1197	12296	90345
1198	12314	90393
1199	12326	90394
1200	12336	90382
1201	12347	90376
1202	12358	90372
1203	12369	90368
1204	12378	90350
1205	12390	90350
1206	12401	90346
1207	12411	90335
1208	12422	90324
1209	12431	90311
1210	12441	90297
1211	12452	90288
1212	12461	90271
1213	12470	90251
1214	12480	90238
1215	12490	90228
1216	12501	90219
1217	12511	90208
1218	12523	90208
1219	12533	90201
1220	12545	90199
1221	12558	90208
1222	12611	90509
1223	12623	90506
1224	12633	90499
1225	12644	90494
1226	12655	90485
1227	12664	90465
1228	12673	90445
1229	12683	90433
1230	12692	90414
1231	12701	90394
1232	12710	90374
1233	12719	90357
1234	12729	90341
1235	12738	90322
1236	12747	90304
1237	12756	90283
1238	12764	90259
1239	12773	90236
1240	12782	90219
1241	12791	90197
1242	12799	90174
1243	12808	90150
1244	12816	90125
1245	12824	90101
1246	12832	90077
1247	12841	90052
1248	12849	90027
1249	12858	90006
1250	12868	89994
1251	12877	89977
1252	12887	89965
1253	12897	89951
1254	12906	89931
1255	12915	89917
1256	12925	89904
1257	12935	89893
1258	12946	89882
1259	12956	89870
1260	12965	89855
1261	12975	89841
1262	12986	89833
1263	12994	89812
1264	13003	89788
1265	13012	89773
1266	13023	89765
1267	13036	89775
1268	13046	89764
1269	13056	89752
1270	13066	89737
1271	13075	89717
1272	13084	89702
1273	13095	89693
1274	13105	89684
1275	13117	89681
1276	13126	89667
1277	13137	89657
1278	13147	89648
1279	13158	89640
1280	13168	89631
1281	13178	89615
1282	13187	89599
1283	13196	89580
1284	13205	89562
1285	13215	89549
1286	13226	89543
1287	13236	89529
1288	13245	89513
1289	13254	89494
1290	13263	89477
1291	13274	89467
1292	13284	89454
1293	13293	89437
1294	13303	89427
1295	13313	89415
1296	13325	89415
1297	13335	89405
1298	13346	89394
1299	13355	89379
1300	13365	89367
1301	13375	89358
1302	13386	89348
1303	13396	89339
1304	13406	89328
1305	13417	89316
1306	13427	89306
1307	13436	89291
1308	13448	89287
1309	13458	89280
1310	13468	89264
1311	13477	89248
1312	13486	89231
1313	13496	89215
1314	13505	89196
1315	13515	89186
1316	13526	89182
1317	13536	89167
1318	13545	89150
1319	13554	89132
1320	13563	89114
1321	13572	89096
1322	13581	89078
1323	13591	89065
1324	13600	89045
1325	13610	89031
1326	13620	89021
1327	13630	89005
1328	13639	88992
1329	13648	88971
1330	13657	88954
1331	13667	88940
1332	13677	88926
1333	13686	88909
1334	13696	88896
1335	13708	88898
1336	13718	88886
1337	13730	88890
1338	13748	88929
1339	13763	88947
1340	13775	88948
1341	13786	88941
1342	13794	88921
1343	13803	88900
1344	13812	88882
1345	13820	88860
1346	13829	88842
1347	13843	88852
1348	13852	88836
1349	13862	88820
1350	13872	88812
1351	13882	88800
1352	13892	88784
1353	13908	88811
1354	13918	88798
1355	13928	88786
1356	13937	88770
1357	13947	88756
1358	13958	88752
1359	13968	88738
1360	13977	88724
1361	13986	88703
1362	13994	88679
1363	14003	88659
1364	14011	88636
1365	14020	88616
1366	14031	88612
1367	14040	88594
1368	14049	88576
1369	14058	88556
1370	14068	88548
1371	14079	88540
1372	14090	88536
1373	14100	88520
1374	14111	88518
